"Algorithm","Result","Group","Replication"
"Alg2",5050852.89684611,"76",1
"Alg1",2761570.63451295,"77",1
"Alg2",5125083.52360876,"77",1
"Alg1",2470365.99778475,"78",1
"Alg2",3904511.67713818,"78",1
"Alg1",2647328.81646677,"79",1
"Alg2",4497104.96810815,"79",1
"Alg1",3111982.77220549,"80",1
"Alg2",5231052.21532986,"80",1
"Alg1",2909503.22981499,"81",1
"Alg2",4810902.24512555,"81",1
"Alg1",3030022.06674908,"82",1
"Alg2",5356089.71042981,"82",1
"Alg1",3601740.82798606,"83",1
"Alg2",5369078.08082258,"83",1
"Alg1",3458085.67789187,"84",1
"Alg2",5054336.8181562,"84",1
"Alg1",3499885.82870945,"85",1
"Alg2",5219544.09272018,"85",1
"Alg1",3654453.26741169,"86",1
"Alg2",5451899.51701062,"86",1
"Alg1",3334682.19838595,"87",1
"Alg2",4607233.74308166,"87",1
"Alg1",3717529.43311729,"88",1
"Alg2",6089621.91022963,"88",1
"Alg1",3322657.20136726,"89",1
"Alg2",5007443.27610218,"89",1
"Alg1",3802950.80517445,"90",1
"Alg2",6179852.43855084,"90",1
"Alg1",4047841.78487603,"91",1
"Alg2",6148691.51092957,"91",1
"Alg1",4462796.17825044,"92",1
"Alg2",5087926.68958208,"92",1
"Alg1",3167094.73517501,"93",1
"Alg2",6863999.1013709,"93",1
"Alg1",3444638.9819764,"94",1
"Alg2",6658494.09178979,"94",1
"Alg1",3391482.97604376,"95",1
"Alg2",6821498.6454612,"95",1
"Alg1",2717964.6225954,"96",1
"Alg2",5700848.71543188,"96",1
"Alg1",3640897.63203788,"97",1
"Alg2",5787725.954451,"97",1
"Alg1",4692385.08064951,"98",1
"Alg2",6722270.79236376,"98",1
"Alg1",4774816.60553142,"99",1
"Alg2",6752153.15696004,"99",1
"Alg1",2668078.02306374,"100",1
"Alg2",5941822.96325258,"100",1
"Alg1",4396954.16577275,"101",1
"Alg2",6731500.02105417,"101",1
"Alg1",4117519.17856481,"102",1
"Alg2",6207735.76980614,"102",1
"Alg1",4666680.8008801,"103",1
"Alg2",7058242.67967836,"103",1
"Alg1",5322418.11893286,"104",1
"Alg2",7563867.79847154,"104",1
"Alg1",5378381.30387197,"105",1
"Alg2",6193880.48281377,"105",1
"Alg1",4990157.77701628,"106",1
"Alg2",8081699.59795458,"106",1
"Alg1",5212819.53065774,"107",1
"Alg2",7684822.3621329,"107",1
"Alg1",4922522.12854,"108",1
"Alg2",6793856.35861404,"108",1
"Alg1",4539862.35305548,"109",1
"Alg2",6575854.83644813,"109",1
