DIM_key,DIM,BAL_key,BAL,LIN_key,LIN,NOISE_key,NOISE,NUM_SAMPLES,SEED_run,Run,AUC_LR,AUC_SVM,AUC_RF,AUC_XGB
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,123,1,0.8436293629362936,0.8365711571157115,0.8407640764076408,0.8342534253425342
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,124,2,0.8398615009629665,0.8338909481587924,0.8277204383604939,0.8274578226591878
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,125,3,0.844836758187584,0.8433093292450448,0.841581671795246,0.8400611868593526
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,126,4,0.8495646515825361,0.8557950619932615,0.8510895871331676,0.8503645650697222
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,127,5,0.8438462030407645,0.8446763265541284,0.8464518230492516,0.8463267210993207
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,128,6,0.8471070554263858,0.850866993799845,0.8445519349858746,0.8366767511687792
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,129,7,0.8423915053321878,0.8482169449975823,0.8460443633053023,0.8489596608352052
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,130,8,0.8404849999999999,0.8380325000000001,0.8283950000000001,0.81899
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,131,9,0.8499800000000001,0.843015,0.8411125,0.84413
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,132,10,0.853972355159464,0.8564075289250969,0.8565927086971055,0.8514873564158336
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,133,11,0.8243512300771876,0.8326790360814375,0.8301379176736334,0.824025500275377
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,134,12,0.8381032538114684,0.8341583985894276,0.8256381169505236,0.8237630033160069
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,135,13,0.8643515004147261,0.8559506428250288,0.8614138185467167,0.863868965601769
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,136,14,0.8393119195479887,0.8540872606815171,0.8430895833645842,0.8399219616740419
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,137,15,0.85918,0.8599699999999999,0.8557274999999999,0.8569549999999999
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,138,16,0.8444434793064852,0.8369579875170956,0.8389140545440238,0.8288792395958113
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,139,17,0.7954923805588388,0.8158942452409196,0.8305583160881153,0.8291331334438476
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,140,18,0.7637582261188693,0.8137622513095082,0.8176519753902939,0.8100716274282493
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,141,19,0.8445815458317749,0.844028945570624,0.8475791918425323,0.8456891145876007
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,142,20,0.8424217214180354,0.8341165580389511,0.8344940294132354,0.8345141216030401
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,143,21,0.7739327986949673,0.8276557365184128,0.8265882370184257,0.8195881467036676
Baixa,5,Sem,0.5,Sim,True,Sim,0.3,2000,144,22,0.8536949999999999,0.8528500000000001,0.8525274999999999,0.8563000000000001
